simulacao,caixa_final,quebrou
0,-390087.0252273279,True
1,524740.0118830196,False
2,658350.7398323724,False
3,40142.80621450157,False
4,-402769.8502525123,True
5,-178158.939226914,True
6,-251983.63071969606,True
7,-59855.69252001859,True
8,1468078.08607786,False
9,-421854.3693350679,True
10,-504126.39542953647,True
11,-453345.72090645164,True
12,364589.66762675776,False
13,166400.35112927362,False
14,-340332.5352519309,True
15,-375933.141218684,True
16,-419387.3035114961,True
17,-12419.525368402019,True
18,-216277.69710027045,True
19,526740.6583480833,False
20,1921260.9734272482,False
21,501647.84559112927,False
22,-136946.56041330812,True
23,878169.7388307335,False
24,-420072.6027104107,True
25,1159408.698923744,False
26,-45171.88137022377,True
27,-353604.187975757,True
28,-340653.3329842136,True
29,-409299.4598903168,True
30,268105.9670617933,False
31,171955.6654438233,False
32,-109945.24640371079,True
33,-234718.6097781886,True
34,-403384.3999618445,True
35,-444417.0522454453,True
36,-401973.4291277814,True
37,-351681.7922760598,True
38,-307013.52539853525,True
39,-304332.3996899469,True
40,782487.2626207708,False
41,-382040.6774980597,True
42,-242658.28124118302,True
43,2084202.547840678,False
44,456064.2937126316,False
45,-327986.7911918894,True
46,63969.6713294281,False
47,2291427.423935896,False
48,-294456.8227643802,True
49,996044.8325803821,False
50,-307127.81091324857,True
51,-476783.36047997227,True
52,95443.11056664678,False
53,-253941.9115017876,True
54,72296.40779067903,False
55,288870.8957992366,False
56,-258156.8035471895,True
57,-23909.592467625145,True
58,29200.153387922946,False
59,-215600.98070839435,True
60,-123417.5583083441,True
61,754675.9485753754,False
62,615407.9812778487,False
63,-251783.2964767026,True
64,593348.9583354646,False
65,-321938.19195449154,True
66,18551.662253900933,False
67,-457659.3855300191,True
68,737998.0022139902,False
69,-372709.8876186069,True
70,-295083.74280567054,True
71,-183022.1416902851,True
72,-544348.108393811,True
73,-340626.82261135447,True
74,1695857.318145235,False
75,-374610.6859686193,True
76,-322113.8474902017,True
77,-110325.11920085314,True
78,-161703.86169113568,True
79,-324378.0948335535,True
80,746499.5857371093,False
81,-53772.708150984705,True
82,-518264.7399252361,True
83,-392462.4545437261,True
84,524878.6048417351,False
85,331577.5243466998,False
86,-365517.2779009943,True
87,-190923.21524645446,True
88,295035.47605218936,False
89,-312827.45050095284,True
90,667355.956008891,False
91,-377558.27618768386,True
92,2839374.3882610076,False
93,109854.41434246428,False
94,2081473.5773967537,False
95,-468074.295332659,True
